"","ontology","GO","set","n_genes","V1","V2","term","parent","parentTerm","size","pvalue","qvalue","score"
"11","MF","GO:0001228","topfind",13,0.0943183189728251,0.00813992032340433,"DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0003712","transcription coregulator activity",508,5.07147780998225e-05,0.000736286369321969,3.13295323942965
"12","MF","GO:0002020","topfind",4,0.146598141385982,-0.375881808997531,"protease binding","GO:0019899","enzyme binding",113,7.49951246925324e-06,0.000140902604863499,3.85108097802346
"13","MF","GO:0002039","topfind",8,0.0797029062495557,-0.147232852001316,"p53 binding","GO:0002039","p53 binding",69,6.29324754067668e-07,1.47798769447951e-05,4.83032918180174
"14","MF","GO:0003676","topfind",1,-0.510859156301329,0.116164972836239,"nucleic acid binding","GO:0003676","nucleic acid binding",108,3.40607922607451e-15,3.02194918002278e-13,12.5197128434455
"15","MF","GO:0003677","topfind",30,-0.512657964220906,0.122150762816942,"DNA binding","GO:0003676","nucleic acid binding",1005,3.43527308169154e-07,8.8485985668732e-06,5.05312550702745
"16","MF","GO:0003682","topfind",25,0.0158770241088062,-0.0332651827017403,"chromatin binding","GO:0003682","chromatin binding",452,4.88914720148389e-18,6.00612929289982e-16,15.2214053230547
"17","MF","GO:0003688","topfind",3,-0.344463150410933,0.096942204753319,"DNA replication origin binding","GO:0003676","nucleic acid binding",17,0.00026935527069278,0.00321015199474903,2.49347440406927
"18","MF","GO:0003690","topfind",12,-0.500569282083792,0.121988045849668,"double-stranded DNA binding","GO:0003676","nucleic acid binding",115,3.78108692678488e-08,1.25799912959905e-06,5.90031965937601
"19","MF","GO:0003697","topfind",8,-0.391549295704251,0.103753049845713,"single-stranded DNA binding","GO:0003676","nucleic acid binding",134,4.66839696565995e-07,1.12961059911499e-05,4.9470712412962
"20","MF","GO:0003712","topfind",5,0.0954417876075827,0.00826264515890999,"transcription coregulator activity","GO:0003712","transcription coregulator activity",137,1.12520251111988e-07,3.26717892774265e-06,5.48582708064442
"21","MF","GO:0003712","Unreported",3,0.0954417876075827,0.00826264515890999,"transcription coregulator activity","GO:0003712","transcription coregulator activity",137,8.63767862802208e-08,8.1143369229125e-06,5.09074696351315
"22","MF","GO:0003712","Unreported+high ratio",3,0.0954417876075827,0.00826264515890999,"transcription coregulator activity","GO:0003712","transcription coregulator activity",137,2.48860782677544e-08,3.61300609032761e-06,5.44213130635519
"23","MF","GO:0003713","topfind",11,0.0949389483606704,0.00820789767648897,"transcription coactivator activity","GO:0003712","transcription coregulator activity",304,1.18949064809543e-05,0.000209090357748389,3.67966599431395
"24","MF","GO:0003713","Unreported",7,0.0949389483606704,0.00820789767648897,"transcription coactivator activity","GO:0003712","transcription coregulator activity",304,5.12500649889392e-05,0.00209862445608554,2.67806527044179
"25","MF","GO:0003713","Unreported+high ratio",5,0.0949389483606704,0.00820789767648897,"transcription coactivator activity","GO:0003712","transcription coregulator activity",304,7.41092689349343e-05,0.0034085148194483,2.46743481344765
"26","MF","GO:0003714","Unreported",8,0.094668475540034,0.00817843468657399,"transcription corepressor activity","GO:0003712","transcription coregulator activity",250,5.57790961634457e-05,0.00222698041432557,2.65228360244855
"27","MF","GO:0003714","Unreported+high ratio",7,0.094668475540034,0.00817843468657399,"transcription corepressor activity","GO:0003712","transcription coregulator activity",250,1.56926404461354e-05,0.00119338794249896,2.92321835440261
"28","MF","GO:0003723","topfind",61,-0.507118819229241,0.123863761014272,"RNA binding","GO:0003723","RNA binding",1743,1.90388111523291e-20,3.80062267628369e-18,17.4201452447726
"29","MF","GO:0003723","Unreported",77,-0.507118819229241,0.123863761014272,"RNA binding","GO:0003723","RNA binding",1743,2.7738558199015e-45,4.4298477443827e-42,41.3536112003934
"30","MF","GO:0003723","Unreported+high ratio",51,-0.507118819229241,0.123863761014272,"RNA binding","GO:0003723","RNA binding",1743,1.14408018808025e-34,1.82709606036416e-31,30.7382386188273
"31","MF","GO:0003725","topfind",7,-0.378085257992101,0.102564614128888,"double-stranded RNA binding","GO:0003723","RNA binding",93,9.42674647604534e-08,2.84047436268762e-06,5.5466091261873
"32","MF","GO:0003727","topfind",3,-0.392897897886407,0.106086172187569,"single-stranded RNA binding","GO:0003723","RNA binding",51,5.93837955590186e-09,2.43169029507058e-07,6.61409173848927
"33","MF","GO:0003729","topfind",13,-0.456130315174298,0.117229141773346,"mRNA binding","GO:0003723","RNA binding",238,1.81698552986874e-13,1.31896631418199e-11,10.8797662960015
"34","MF","GO:0003729","Unreported",10,-0.456130315174298,0.117229141773346,"mRNA binding","GO:0003723","RNA binding",238,3.84204076221297e-12,6.13573909725411e-10,9.21213311565488
"35","MF","GO:0003729","Unreported+high ratio",6,-0.456130315174298,0.117229141773346,"mRNA binding","GO:0003723","RNA binding",238,4.25774390180929e-10,8.4995212639868e-08,7.07060553525795
"36","MF","GO:0003730","topfind",8,-0.41226239914324,0.109700036759674,"mRNA 3'-UTR binding","GO:0003723","RNA binding",209,3.50591514191465e-07,8.88721663752016e-06,5.05123423320713
"37","MF","GO:0003730","Unreported",8,-0.41226239914324,0.109700036759674,"mRNA 3'-UTR binding","GO:0003723","RNA binding",209,1.57097679617436e-07,1.3386656392821e-05,4.87332788389018
"38","MF","GO:0003730","Unreported+high ratio",7,-0.41226239914324,0.109700036759674,"mRNA 3'-UTR binding","GO:0003723","RNA binding",209,7.84715732744154e-08,9.63993096301857e-06,5.01592607631371
"39","MF","GO:0003746","Unreported",6,-0.353020362272727,0.101533066425723,"translation elongation factor activity","GO:0045182","translation regulator activity",23,1.59265166852598e-07,1.3386656392821e-05,4.87332788389018
"40","MF","GO:0003746","Unreported+high ratio",4,-0.353020362272727,0.101533066425723,"translation elongation factor activity","GO:0045182","translation regulator activity",23,1.45872281596301e-05,0.00116479016854646,2.93375230369385
"41","MF","GO:0003779","topfind",17,0.086009305858825,-0.19866851352034,"actin binding","GO:0008092","cytoskeletal protein binding",286,4.93238619174151e-07,1.17567473853898e-05,4.9297128132907
"42","MF","GO:0003779","Unreported",7,0.086009305858825,-0.19866851352034,"actin binding","GO:0008092","cytoskeletal protein binding",286,3.00808116422827e-05,0.00145572897553713,2.83691947350168
"43","MF","GO:0004672","topfind",21,0.376929445732583,0.49071306467102,"protein kinase activity","GO:0106310","protein serine kinase activity",236,1.65662887934398e-08,6.45277151295691e-07,6.19025371261158
"44","MF","GO:0004674","topfind",22,0.369110457458734,0.478409507395173,"protein serine/threonine kinase activity","GO:0106310","protein serine kinase activity",622,2.96660219775849e-08,1.0211007119618e-06,5.99093142099613
"45","MF","GO:0004697","topfind",5,0.328758645673071,0.41432952816184,"protein kinase C activity","GO:0106310","protein serine kinase activity",26,1.94947182888102e-08,7.18078711940911e-07,6.14382794811426
"46","MF","GO:0004698","topfind",6,0.324612216292397,0.407648069451845,"calcium-dependent protein kinase C activity","GO:0106310","protein serine kinase activity",16,8.36171316211492e-09,3.33841397997438e-07,6.4764598096368
"47","MF","GO:0004713","topfind",8,0.355403908169436,0.45671975142618,"protein tyrosine kinase activity","GO:0106310","protein serine kinase activity",141,4.2432143095694e-05,0.000633309649755358,3.19838389456612
"48","MF","GO:0004715","topfind",7,0.331343780583666,0.418507614796013,"non-membrane spanning protein tyrosine kinase activity","GO:0106310","protein serine kinase activity",77,8.52161553593454e-07,1.97232174070833e-05,4.7050222380679
"49","MF","GO:0004842","topfind",10,0.34733499351302,0.443254973313288,"ubiquitin-protein transferase activity","GO:0019787","ubiquitin-like protein transferase activity",300,1.23071343947079e-05,0.000209090357748389,3.67966599431395
"50","MF","GO:0005102","topfind",7,0.0816140989737066,-0.222427523049388,"signaling receptor binding","GO:0005102","signaling receptor binding",400,3.61293116995186e-06,7.12327293631249e-05,4.1473204148491
"51","MF","GO:0005178","topfind",7,0.105175830825706,-0.224964594573984,"integrin binding","GO:0050839","cell adhesion molecule binding",175,0.000274596444280467,0.00324837423345115,2.48833394305146
"52","MF","GO:0005198","Unreported",8,0.0865104871963333,0.00724043530062438,"structural molecule activity","GO:0005200","structural constituent of cytoskeleton",164,2.11947328479594e-09,2.82066569651593e-07,6.5496483830973
"53","MF","GO:0005198","Unreported+high ratio",6,0.0865104871963333,0.00724043530062438,"structural molecule activity","GO:0005200","structural constituent of cytoskeleton",164,4.158604317486e-05,0.0023718896767947,2.62490551508583
"54","MF","GO:0005200","topfind",10,0.0859174745555807,0.00717787224726175,"structural constituent of cytoskeleton","GO:0005200","structural constituent of cytoskeleton",104,1.73758727868952e-09,8.16154965902109e-08,7.08822737256176
"55","MF","GO:0005200","Unreported",8,0.0859174745555807,0.00717787224726175,"structural constituent of cytoskeleton","GO:0005200","structural constituent of cytoskeleton",104,8.34530711920338e-07,6.05793430425809e-05,4.21767544071807
"56","MF","GO:0005200","Unreported+high ratio",5,0.0859174745555807,0.00717787224726175,"structural constituent of cytoskeleton","GO:0005200","structural constituent of cytoskeleton",104,8.87203304751301e-05,0.00372858862549428,2.42845552962692
"57","MF","GO:0005516","topfind",12,0.0786921100452204,-0.161667603637082,"calmodulin binding","GO:0005516","calmodulin binding",234,1.30450584067345e-06,2.85382990076096e-05,4.54457191607155
"58","MF","GO:0005522","topfind",3,0.0802997954593916,-0.130285904325274,"profilin binding","GO:0005522","profilin binding",12,4.13189612239462e-05,0.000622513029006058,3.20585155448729
"59","MF","GO:0005524","topfind",68,-0.46035664162136,0.105707276488786,"ATP binding","GO:0097159","organic cyclic compound binding",1508,1.95736419081604e-12,1.25036424509328e-10,9.90296345371944
"60","MF","GO:0008013","topfind",6,0.0791930816676443,-0.151806569586965,"beta-catenin binding","GO:0008013","beta-catenin binding",106,0.000562493118433715,0.00628182874222827,2.20191390768904
"61","MF","GO:0008022","topfind",12,0.0789076895849841,-0.158983521080503,"protein C-terminus binding","GO:0008022","protein C-terminus binding",190,1.97842600659988e-08,7.18078711940911e-07,6.14382794811426
"62","MF","GO:0008022","Unreported",6,0.0789076895849841,-0.158983521080503,"protein C-terminus binding","GO:0008022","protein C-terminus binding",190,0.000328402754103509,0.00898065371047619,2.04669204946638
"63","MF","GO:0008047","topfind",5,0.114395258578312,0.0107281255066164,"enzyme activator activity","GO:0098772","molecular function regulator",57,8.59418194511689e-05,0.00117306910823519,2.93067640183068
"64","MF","GO:0008092","topfind",1,0.0841020176314306,-0.213598797739574,"cytoskeletal protein binding","GO:0008092","cytoskeletal protein binding",49,7.85192335677748e-11,4.32397296578401e-09,8.36411702999336
"65","MF","GO:0008092","Unreported",1,0.0841020176314306,-0.213598797739574,"cytoskeletal protein binding","GO:0008092","cytoskeletal protein binding",49,6.04012305875945e-06,0.000385843060993554,3.4135893057012
"66","MF","GO:0008134","Unreported",2,0.0888563681748775,-0.213465186515889,"transcription factor binding","GO:0140297","DNA-binding transcription factor binding",206,5.36258780933198e-09,6.58773287038705e-07,6.18126401959168
"67","MF","GO:0008134","Unreported+high ratio",1,0.0888563681748775,-0.213465186515889,"transcription factor binding","GO:0140297","DNA-binding transcription factor binding",206,9.92963450644166e-06,0.000932801547458078,3.03021074211771
"68","MF","GO:0008135","Unreported",2,-0.402007284831945,0.110430250145598,"translation factor activity, RNA binding","GO:0045182","translation regulator activity",24,2.63255337985347e-06,0.000182790771635913,3.73804573381427
"69","MF","GO:0008135","Unreported+high ratio",2,-0.402007284831945,0.110430250145598,"translation factor activity, RNA binding","GO:0045182","translation regulator activity",24,7.47013266629245e-05,0.0034085148194483,2.46743481344765
"70","MF","GO:0008187","topfind",1,-0.354724011576352,0.0990327027886508,"poly-pyrimidine tract binding","GO:0003723","RNA binding",2,4.50236210349544e-05,0.000659658007273598,3.1806811615006
"71","MF","GO:0009931","topfind",1,0.325774297061807,0.409511018970934,"calcium-dependent protein serine/threonine kinase activity","GO:0106310","protein serine kinase activity",7,8.94443981686743e-10,4.60782915727009e-08,7.33650363145774
"72","MF","GO:0015459","topfind",4,0.114073287140894,0.0106899362498114,"potassium channel regulator activity","GO:0098772","molecular function regulator",57,4.47312973955468e-06,8.60673276393833e-05,4.06516168151775
"73","MF","GO:0016301","topfind",6,0.365040988662317,0.472114564556096,"kinase activity","GO:0106310","protein serine kinase activity",73,4.22828685303039e-07,1.03885755450608e-05,4.98344399771044
"74","MF","GO:0016504","topfind",1,0.113001149577372,0.0105623550956085,"peptidase activator activity","GO:0098772","molecular function regulator",11,2.35279281883387e-05,0.000368373542321341,3.43371156967083
"75","MF","GO:0016887","topfind",14,0.271612506398655,0.318209612000752,"ATP hydrolysis activity","GO:0097200","cysteine-type endopeptidase activity involved in execution phase of apoptosis",302,0.00022339756328577,0.00274435314282596,2.56156000444031
"76","MF","GO:0016887","Unreported",11,0.271612506398655,0.318209612000752,"ATP hydrolysis activity","GO:0097200","cysteine-type endopeptidase activity involved in execution phase of apoptosis",302,0.000218476923575963,0.00670976244136178,2.17329285572252
"77","MF","GO:0016887","Unreported+high ratio",9,0.271612506398655,0.318209612000752,"ATP hydrolysis activity","GO:0097200","cysteine-type endopeptidase activity involved in execution phase of apoptosis",302,8.50085349808212e-05,0.00366915217201004,2.43543427622612
"78","MF","GO:0017124","topfind",7,0.0905020505680775,-0.184105642662313,"SH3 domain binding","GO:0019904","protein domain specific binding",138,5.22145245266907e-05,0.000751230591613739,3.12422673504103
"79","MF","GO:0019789","topfind",5,0.30914752157365,0.382464700921775,"SUMO transferase activity","GO:0019787","ubiquitin-like protein transferase activity",29,1.21029328898883e-05,0.000209090357748389,3.67966599431395
"80","MF","GO:0019887","topfind",2,0.116181658428761,0.0109403162279362,"protein kinase regulator activity","GO:0098772","molecular function regulator",14,1.1353764384207e-05,0.000203729906984029,3.69094521309726
"81","MF","GO:0019899","topfind",34,0.147039179204512,-0.435615619091156,"enzyme binding","GO:0019899","enzyme binding",374,5.50455699114802e-64,4.39538875743169e-61,60.3570027069973
"82","MF","GO:0019899","Unreported",6,0.147039179204512,-0.435615619091156,"enzyme binding","GO:0019899","enzyme binding",374,3.59712645602306e-14,6.38290105585424e-12,11.1949818877071
"83","MF","GO:0019899","Unreported+high ratio",3,0.147039179204512,-0.435615619091156,"enzyme binding","GO:0019899","enzyme binding",374,9.74623822113771e-12,2.22353463416528e-09,8.65295610151538
"84","MF","GO:0019900","topfind",11,0.147545880739857,-0.410159832979984,"kinase binding","GO:0019899","enzyme binding",106,2.13294744157292e-34,8.51579266047988e-32,31.0697749211541
"85","MF","GO:0019900","Unreported",4,0.147545880739857,-0.410159832979984,"kinase binding","GO:0019899","enzyme binding",106,4.06464884699844e-05,0.00185464120247329,2.73174009621485
"86","MF","GO:0019901","topfind",40,0.147543789646494,-0.407325649594817,"protein kinase binding","GO:0019899","enzyme binding",518,3.19889059741115e-28,7.298040405808e-26,25.136793736481
"87","MF","GO:0019901","Unreported",9,0.147543789646494,-0.407325649594817,"protein kinase binding","GO:0019899","enzyme binding",518,1.20326198267448e-05,0.000686289066546837,3.16349291991481
"88","MF","GO:0019902","topfind",2,0.148344505134722,-0.388215180466194,"phosphatase binding","GO:0019899","enzyme binding",55,5.84720739019646e-13,3.89082925089323e-11,10.4099578277987
"89","MF","GO:0019903","topfind",10,0.148121173711287,-0.383279418116261,"protein phosphatase binding","GO:0019899","enzyme binding",94,2.11659408194633e-12,1.30007721110319e-10,9.88603085433909
"90","MF","GO:0019904","topfind",19,0.0890842385941024,-0.208620492633617,"protein domain specific binding","GO:0019904","protein domain specific binding",246,5.63170475466959e-37,2.99794416440245e-34,33.523176459986
"91","MF","GO:0019904","Unreported",6,0.0890842385941024,-0.208620492633617,"protein domain specific binding","GO:0019904","protein domain specific binding",246,1.42363448344614e-08,1.62396019290249e-06,5.78942462054723
"92","MF","GO:0019904","Unreported+high ratio",3,0.0890842385941024,-0.208620492633617,"protein domain specific binding","GO:0019904","protein domain specific binding",246,4.94769255867252e-05,0.00272464310903449,2.56469037629658
"93","MF","GO:0019905","Unreported+high ratio",4,0.0793174249940619,-0.151311800418197,"syntaxin binding","GO:0019905","syntaxin binding",69,0.000162752081300072,0.00666448907272348,2.17623313978384
"94","MF","GO:0023026","Unreported",3,0.0520743904200123,-0.0524888403583521,"MHC class II protein complex binding","GO:0044877","protein-containing complex binding",33,0.000331783700011331,0.00898065371047619,2.04669204946638
"95","MF","GO:0030165","topfind",5,0.090846043277948,-0.178984461461218,"PDZ domain binding","GO:0019904","protein domain specific binding",89,0.000384089177961571,0.00444485809568571,2.35214209954065
"96","MF","GO:0030674","Unreported",1,0.0831966715751224,0.00687772393462465,"protein-macromolecule adaptor activity","GO:0043495","protein-membrane adaptor activity",102,0.000265791889741379,0.00771762996212694,2.11251604842062
"97","MF","GO:0030674","Unreported+high ratio",1,0.0831966715751224,0.00687772393462465,"protein-macromolecule adaptor activity","GO:0043495","protein-membrane adaptor activity",102,4.09409749929189e-05,0.0023718896767947,2.62490551508583
"98","MF","GO:0031072","topfind",4,0.0789630031632126,-0.158125334019294,"heat shock protein binding","GO:0031072","heat shock protein binding",73,0.000164840478502388,0.00208928765212947,2.6800017624456
"99","MF","GO:0031490","topfind",6,-0.378561095008126,0.0987996911717136,"chromatin DNA binding","GO:0003682","chromatin binding",68,1.7437091357868e-05,0.000287082834005311,3.54199277517905
"100","MF","GO:0031625","topfind",25,0.147047479505163,-0.389677190924917,"ubiquitin protein ligase binding","GO:0019899","enzyme binding",329,9.11234885167972e-19,1.45524211161325e-16,15.8370647462036
"101","MF","GO:0031625","Unreported",8,0.147047479505163,-0.389677190924917,"ubiquitin protein ligase binding","GO:0019899","enzyme binding",329,0.000131338540384306,0.00455973149986384,2.34106073004624
"102","MF","GO:0031996","topfind",4,0.139749329867432,-0.325101514155814,"thioesterase binding","GO:0019899","enzyme binding",12,1.1906775792021e-06,2.67818604786725e-05,4.57215925676555
"103","MF","GO:0035035","topfind",4,0.141277321926843,-0.337250953760204,"histone acetyltransferase binding","GO:0019899","enzyme binding",25,2.00248524117939e-05,0.0003166305871449,3.49944713373581
"104","MF","GO:0035198","Unreported+high ratio",3,-0.354089762008771,0.0980097253320947,"miRNA binding","GO:0003723","RNA binding",40,0.00019984215358332,0.00797869798181404,2.09806797399372
"105","MF","GO:0036002","topfind",3,-0.367391994301716,0.100704756844129,"pre-mRNA binding","GO:0003723","RNA binding",17,1.21029328898883e-05,0.000209090357748389,3.67966599431395
"106","MF","GO:0036002","Unreported",3,-0.367391994301716,0.100704756844129,"pre-mRNA binding","GO:0003723","RNA binding",17,4.42785395400738e-05,0.00191115750393237,2.71870352002506
"107","MF","GO:0036002","Unreported+high ratio",3,-0.367391994301716,0.100704756844129,"pre-mRNA binding","GO:0003723","RNA binding",17,6.16308469935507e-06,0.000615152891554378,3.21101693023091
"108","MF","GO:0042162","topfind",1,-0.377197389108269,0.102544384892492,"telomeric DNA binding","GO:0003676","nucleic acid binding",37,0.00078914938399588,0.00875188587667653,2.05789835411083
"109","MF","GO:0042162","Unreported",2,-0.377197389108269,0.102544384892492,"telomeric DNA binding","GO:0003676","nucleic acid binding",37,7.75353003636286e-06,0.000476245671848903,3.32216895819439
"110","MF","GO:0042162","Unreported+high ratio",2,-0.377197389108269,0.102544384892492,"telomeric DNA binding","GO:0003676","nucleic acid binding",37,2.25655325729112e-05,0.00163805252358814,2.78567217684984
"111","MF","GO:0042802","topfind",73,0.0777230024010692,-0.204897584261023,"identical protein binding","GO:0042802","identical protein binding",1555,8.80708213262011e-34,2.81298203315886e-31,30.550833041715
"112","MF","GO:0042802","Unreported",29,0.0777230024010692,-0.204897584261023,"identical protein binding","GO:0042802","identical protein binding",1555,1.15689431743789e-11,1.67960020449847e-09,8.77479408115689
"113","MF","GO:0042802","Unreported+high ratio",20,0.0777230024010692,-0.204897584261023,"identical protein binding","GO:0042802","identical protein binding",1555,1.10259308116602e-08,1.76084115062214e-06,5.75427982093217
"114","MF","GO:0042803","topfind",22,0.0850221380959485,-0.200980184163934,"protein homodimerization activity","GO:0046983","protein dimerization activity",701,1.75894681671172e-08,6.68818587211574e-07,6.17469166587519
"115","MF","GO:0042803","Unreported",13,0.0850221380959485,-0.200980184163934,"protein homodimerization activity","GO:0046983","protein dimerization activity",701,4.20138797176575e-05,0.00186378238636386,2.72960479687394
"116","MF","GO:0042826","topfind",15,0.144469630740962,-0.368504860630639,"histone deacetylase binding","GO:0019899","enzyme binding",138,1.64284748186006e-14,1.24934639453834e-12,11.9033171321787
"117","MF","GO:0043021","topfind",3,0.0469308899130169,-0.0584384433631608,"ribonucleoprotein complex binding","GO:0044877","protein-containing complex binding",39,3.00715617097129e-06,6.00303550630144e-05,4.2216290879043
"118","MF","GO:0043274","topfind",4,0.141277321926843,-0.337250953760204,"phospholipase binding","GO:0019899","enzyme binding",25,2.00248524117939e-05,0.0003166305871449,3.49944713373581
"119","MF","GO:0043495","Unreported",2,0.0830221284959461,0.00685953320156676,"protein-membrane adaptor activity","GO:0043495","protein-membrane adaptor activity",18,1.13238955363814e-05,0.000669787450800041,3.17406299370172
"120","MF","GO:0043495","Unreported+high ratio",2,0.0830221284959461,0.00685953320156676,"protein-membrane adaptor activity","GO:0043495","protein-membrane adaptor activity",18,8.38218285547454e-05,0.00366915217201004,2.43543427622612
"121","MF","GO:0043531","topfind",7,-0.353728915423614,0.0897083848032647,"ADP binding","GO:0043531","ADP binding",37,2.48158801870903e-09,1.13231316167952e-07,6.94603344454316
"122","MF","GO:0043565","topfind",8,-0.503474304766207,0.122398287261776,"sequence-specific DNA binding","GO:0003676","nucleic acid binding",264,2.98962804088299e-07,8.11016949605096e-06,5.09097006928694
"123","MF","GO:0044325","topfind",7,0.0789953497888055,-0.157462719435998,"transmembrane transporter binding","GO:0044325","transmembrane transporter binding",169,5.73631935843143e-05,0.000803587896089035,3.09496661336397
"124","MF","GO:0044389","topfind",2,0.147082441159501,-0.391184262763384,"ubiquitin-like protein ligase binding","GO:0019899","enzyme binding",25,2.65161766826335e-19,4.70514824024063e-17,16.327426689154
"125","MF","GO:0044877","topfind",12,0.0367188760778842,-0.0679057051128255,"protein-containing complex binding","GO:0044877","protein-containing complex binding",368,1.81324801499687e-18,2.63250643631819e-16,15.5796305583176
"126","MF","GO:0044877","Unreported",7,0.0367188760778842,-0.0679057051128255,"protein-containing complex binding","GO:0044877","protein-containing complex binding",368,4.09116254464725e-08,4.12253602221154e-06,5.38483554085522
"127","MF","GO:0044877","Unreported+high ratio",5,0.0367188760778842,-0.0679057051128255,"protein-containing complex binding","GO:0044877","protein-containing complex binding",368,5.19907451668379e-05,0.00276764066771467,2.55789029649812
"128","MF","GO:0045182","Unreported",1,0.0247238835248546,0.0240972640917911,"translation regulator activity","GO:0045182","translation regulator activity",18,4.13028029776985e-08,4.12253602221154e-06,5.38483554085522
"129","MF","GO:0045296","topfind",25,0.0910256633637366,-0.201062312262604,"cadherin binding","GO:0050839","cell adhesion molecule binding",330,5.92984646717916e-18,6.76426057720366e-16,15.1697796705802
"130","MF","GO:0045296","Unreported",21,0.0910256633637366,-0.201062312262604,"cadherin binding","GO:0050839","cell adhesion molecule binding",330,8.67706712071554e-18,1.98457328267554e-15,14.7023328596321
"131","MF","GO:0045296","Unreported+high ratio",11,0.0910256633637366,-0.201062312262604,"cadherin binding","GO:0050839","cell adhesion molecule binding",330,9.17718580813456e-10,1.62844063728788e-07,6.78822806845815
"132","MF","GO:0046875","topfind",4,0.0864834897652028,-0.159396209790049,"ephrin receptor binding","GO:0005102","signaling receptor binding",36,7.73240288422924e-05,0.00106453856949259,2.9728385989374
"133","MF","GO:0046982","topfind",15,0.0836370788239395,-0.183586036209076,"protein heterodimerization activity","GO:0046983","protein dimerization activity",348,1.64278620220971e-07,4.68487422308732e-06,5.3293020643178
"134","MF","GO:0046983","topfind",6,0.0818903559988367,-0.201483269443397,"protein dimerization activity","GO:0046983","protein dimerization activity",140,2.74064732490735e-10,1.45893792595901e-08,7.83596318582208
"135","MF","GO:0046983","Unreported",1,0.0818903559988367,-0.201483269443397,"protein dimerization activity","GO:0046983","protein dimerization activity",140,0.000123231073861347,0.0043733338879238,2.35918736460634
"136","MF","GO:0047485","topfind",8,0.0793303339109171,-0.152422856255995,"protein N-terminus binding","GO:0047485","protein N-terminus binding",107,1.0560633227711e-06,2.40933303780779e-05,4.61810316410074
"137","MF","GO:0048027","topfind",3,-0.35493972533824,0.0993255075169264,"mRNA 5'-UTR binding","GO:0003723","RNA binding",31,0.000822859677357738,0.00906280623958833,2.0427373050095
"138","MF","GO:0048156","topfind",4,0.087370275403568,-0.167686053730403,"tau protein binding","GO:0008092","cytoskeletal protein binding",54,0.00024954864196305,0.00300267125838552,2.52249221308385
"139","MF","GO:0048156","Unreported",4,0.087370275403568,-0.167686053730403,"tau protein binding","GO:0008092","cytoskeletal protein binding",54,4.86431747402121e-05,0.0020442934226347,2.68945676867168
"140","MF","GO:0050839","Unreported",2,0.0904564826940255,-0.209781009122941,"cell adhesion molecule binding","GO:0050839","cell adhesion molecule binding",74,3.07644464409461e-16,6.14135262077386e-14,13.2117359658226
"141","MF","GO:0050839","Unreported+high ratio",2,0.0904564826940255,-0.209781009122941,"cell adhesion molecule binding","GO:0050839","cell adhesion molecule binding",74,2.81245589402898e-08,3.74291005230356e-06,5.42679060950262
"142","MF","GO:0051015","topfind",12,0.0947356744389221,-0.204563555189848,"actin filament binding","GO:0008092","cytoskeletal protein binding",286,2.68741194474962e-05,0.000412672776515878,3.38439418001742
"143","MF","GO:0051015","Unreported",10,0.0947356744389221,-0.204563555189848,"actin filament binding","GO:0008092","cytoskeletal protein binding",286,1.61265042790933e-05,0.000847000391959873,3.07211638869412
"144","MF","GO:0051018","Unreported",3,0.0793459879844547,-0.148971622498628,"protein kinase A binding","GO:0051018","protein kinase A binding",33,0.000138109084392492,0.00469277037818743,2.32857069571844
